Basin,Year,net_area_km2,net_area_unc_km2,extinction_year_est
Cutipay,1995,2.442474214299021,0.0,2079.83947799877
Cutipay,1996,2.4327905796488545,0.0,2079.83947799877
Cutipay,1997,2.423106944998689,0.0,2079.83947799877
Cutipay,1998,2.413423310348523,0.0,2079.83947799877
Cutipay,1999,2.403739675698357,0.0,2079.83947799877
Cutipay,2000,2.399868813947769,0.0,2079.83947799877
Cutipay,2001,2.436308268609554,0.0,2079.83947799877
Cutipay,2002,2.4517352139124293,0.0,2079.83947799877
Cutipay,2003,2.424789826293197,0.0,2079.83947799877
Cutipay,2004,2.3768288574618457,0.0,2079.83947799877
Cutipay,2005,2.25746555246406,0.0,2079.83947799877
Cutipay,2006,2.312546605408442,0.0,2079.83947799877
Cutipay,2007,2.1750913738335176,0.0,2079.83947799877
Cutipay,2008,2.208451206155266,0.0,2079.83947799877
Cutipay,2009,2.2418110384770142,0.0,2079.83947799877
Cutipay,2010,2.2751708707987626,0.0,2079.83947799877
Cutipay,2011,2.17494140364722,0.0,2079.83947799877
Cutipay,2012,2.0697782407765017,0.0,2079.83947799877
Cutipay,2013,1.964615077905784,0.0,2079.83947799877
Cutipay,2014,1.864703469690305,0.0,2079.83947799877
Cutipay,2015,1.9991424879658728,0.0,2079.83947799877
Cutipay,2016,1.983733332543688,0.0,2079.83947799877
Cutipay,2017,1.9769382605083747,0.0,2079.83947799877
Cutipay,2018,1.8691868783157184,0.0,2079.83947799877
Cutipay,2019,1.792562577977712,0.0,2079.83947799877
Cutipay,2020,1.8758448721114127,0.0,2079.83947799877
Cutipay,2021,1.8471632015319568,0.0,2079.83947799877
Cutipay,2022,1.8634277303670737,0.0,2079.83947799877
Cutipay,2023,1.0715596560967615,0.0,2079.83947799877
Cutipay,2024,1.7634483426489294,0.0,2079.83947799877
Domingo,1959,2.272554895382154,0.0,2032.2273280994573
Domingo,1960,21.054351874281156,0.0,2032.2273280994573
Domingo,1985,17.92776168558693,0.0,2032.2273280994573
Domingo,1986,17.163565621948297,0.0,2032.2273280994573
Domingo,1987,16.526329816744344,0.0,2032.2273280994573
Domingo,1988,16.38153278781253,0.0,2032.2273280994573
Domingo,1989,16.23673575888072,0.0,2032.2273280994573
Domingo,1990,16.091938729948907,0.0,2032.2273280994573
Domingo,1991,15.947141701017092,0.0,2032.2273280994573
Domingo,1992,15.80234467208528,0.0,2032.2273280994573
Domingo,1993,15.657547643153467,0.0,2032.2273280994573
Domingo,1994,15.512750614221655,0.0,2032.2273280994573
Domingo,1995,15.36795358528984,0.0,2032.2273280994573
Domingo,1996,15.22315655635803,0.0,2032.2273280994573
Domingo,1997,15.078359527426215,0.0,2032.2273280994573
Domingo,1998,14.933562498494403,0.0,2032.2273280994573
Domingo,1999,14.788765469562591,0.0,2032.2273280994573
Domingo,2000,14.634225315147004,0.0,2032.2273280994573
Domingo,2001,14.41211870357204,0.0,2032.2273280994573
Domingo,2002,14.165954867552378,0.0,2032.2273280994573
Domingo,2003,13.871278942569829,0.0,2032.2273280994573
Domingo,2004,13.464022362292438,0.0,2032.2273280994573
Domingo,2005,12.67426283270026,0.0,2032.2273280994573
Domingo,2006,13.38104201184588,0.0,2032.2273280994573
Domingo,2007,12.795244565674745,0.0,2032.2273280994573
Domingo,2008,12.60548401831221,0.0,2032.2273280994573
Domingo,2009,12.415723470949674,0.0,2032.2273280994573
Domingo,2010,12.225962923587138,0.0,2032.2273280994573
Domingo,2011,11.301380739832174,0.0,2032.2273280994573
Domingo,2012,10.349660257005947,0.0,2032.2273280994573
Domingo,2013,9.397939774179722,0.0,2032.2273280994573
Domingo,2014,8.480474835707247,0.0,2032.2273280994573
Domingo,2015,9.091663564027323,0.0,2032.2273280994573
Domingo,2016,8.049552013582991,0.0,2032.2273280994573
Domingo,2017,7.179708293231552,0.0,2032.2273280994573
Domingo,2018,6.645826052373482,0.0,2032.2273280994573
Domingo,2019,5.978940346340661,0.0,2032.2273280994573
Domingo,2020,6.237962139062179,0.0,2032.2273280994573
Domingo,2021,5.462274396061976,0.0,2032.2273280994573
Domingo,2022,5.648051234262908,0.0,2032.2273280994573
Domingo,2023,6.705199932581435,0.0,2032.2273280994573
Domingo,2024,4.922109402432726,0.0,2032.2273280994573
Maria,1959,0.1005612606571241,0.0,2121.305858308301
Maria,1960,2.914345903094467,0.0,2121.305858308301
Maria,1985,1.588168390092918,0.0,2121.305858308301
Maria,1986,1.4996273110803455,0.0,2121.305858308301
Maria,1987,1.428761163485065,0.0,2121.305858308301
Maria,1988,1.4230281990562976,0.0,2121.305858308301
Maria,1989,1.4172952346275305,0.0,2121.305858308301
Maria,1990,1.411562270198763,0.0,2121.305858308301
Maria,1991,1.405829305769995,0.0,2121.305858308301
Maria,1992,1.400096341341228,0.0,2121.305858308301
Maria,1993,1.3943633769124606,0.0,2121.305858308301
Maria,1994,1.3886304124836932,0.0,2121.305858308301
Maria,1995,1.382897448054926,0.0,2121.305858308301
Maria,1996,1.3771644836261585,0.0,2121.305858308301
Maria,1997,1.3714315191973911,0.0,2121.305858308301
Maria,1998,1.3656985547686238,0.0,2121.305858308301
Maria,1999,1.3599655903398564,0.0,2121.305858308301
Maria,2000,1.3578595521966044,0.0,2121.305858308301
Maria,2001,1.3809054593812204,0.0,2121.305858308301
Maria,2002,1.4087507705971027,0.0,2121.305858308301
Maria,2003,1.446274218867772,0.0,2121.305858308301
Maria,2004,1.4454196723591826,0.0,2121.305858308301
